trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.5128535228981,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.06416647967168,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.43888632371613,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.51400252590355,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,9,-23.20633880122443,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-166.17278833787148,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.67099944396685,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.36088849514218,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.38786429531139,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.10208736595348,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.78635183651781,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,9,-8.944120512037278,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-10.5171642412044,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-245.04430294800022,"{0: 8, 1: 1, 2: 5, 3: 2, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-190.79023073873935,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-165.6533133138089,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,14,-26.1764146547971,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.31752432152224,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-215.15320452261068,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.60820862513233,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.59193062278035,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.36234370379859,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,10,-64.70325481331105,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-176.6833232318226,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-167.66214847515744,"{0: 10, 1: 4, 2: 8, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-207.06913562905737,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.38740327493716,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-76.94676930978284,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,1,-68.08141005009462,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-160.569965953602,"{0: 13, 1: 1, 2: 7, 3: 3, 4: 1}",0
